Marca;Eslogan;Sesgo
7Up;Refréscate con 7Up;No
Actimel;Actimel ayuda a tus defensas. Para ti. Para todos.;No
Adeslas;Contigo, por supuesto;No
Adidas;Nada es imposible;No
Ajax;¡Más fuerte que la suciedad!;No
Avon;La empresa para las mujeres;Sí
Gillette;Lo mejor para el hombre;Sí
L’Oréal Paris;Porque yo lo valgo;No
Coca-Cola;Destapa la felicidad;No
Movistar;Compartida la vida es más;No
Nivea;Cuidado para tu piel todos los días;No
Axe;El efecto Axe;Sí
Nestlé;Te hace bien;No
Danone;Alimenta sonrisas;No
Pond's;Lo mejor para tu belleza;Sí
Nike;Just do it;No
Colgate;Sonríe con confianza;No
Heineken;Abre tu mundo;No
Dodot;Cuida lo que más quieres;Sí
Barbie;Tú puedes ser lo que quieras ser;Sí
Hot Wheels;Los autos más rápidos para los chicos más rápidos;Sí
Renault;Passion for life;No
SEAT;Technology to enjoy;No
Sprite;Las cosas como son;No
Pepsi;Siente el sabor;No
Fairy;Dura tanto que parece mágico;Sí
Vernel;Frescura que dura y dura;Sí
Lenor;Tu ropa con un toque de amor;Sí
Toyota;Mueve el mundo;No
Ford;Go Further;No
Repsol;Energía para avanzar;No
IKEA;Redecora tu vida;No
Zara;La moda que va contigo;No
Bershka;Creado para la nueva generación;No
H&M;La moda y la calidad al mejor precio;No
Don Limpio;El poder en tus manos;Sí
Scotch-Brite;Brilla sin esfuerzo;Sí
Gallina Blanca;Saborea lo bueno;No
Hero;Sabores que alimentan;No
La Lechera;El toque dulce de mamá;Sí
Font Vella;Eres agua,  eres vida;No
Bezoya;Agua ligera de mineralización débil;No
Garnier;Cuida de ti naturalmente;Sí
Dove;Belleza real;Sí
Old Spice;Huele como un hombre debería oler;Sí
Smint;No Smint,  no beso;No
Mahou;Donde va la pasión;No
Cruzcampo;Con carácter andaluz;No
Estrella Damm;El sabor mediterráneo;No
Red Bull;Te da alas;No
Sprite;Obedece a tu sed;No
Kas;Si no hay Kas,  me voy;Sí
Fanta;Todo sabe mejor con Fanta;No
Trina;100% fruta, 0% burbujas;No
Aquarius;El cuerpo pide lo que necesita;No
Minute Maid;Tu día sabe mejor;No
Orbit;Dientes limpios,  vida fresca;No
Chiclets;Chicle que hace clic;No
Trident;Refresca tu mundo;No
Tampax;Libertad para moverte;Sí
Evax;Porque tú lo vales;Sí
Ausonia;Tan segura como tú;Sí
Dodot Activity;Protección que se adapta a tu bebé;Sí
Johnson’s Baby;Lo mejor para tu bebé;Sí
Chicco;Donde hay un niño, hay Chicco;Sí
Mustela;Cuida tu piel y la de tu bebé;Sí
Nestlé bebé;La nutrición del futuro;Sí
Hero Baby;Nutrición que cuida;No
Nutribén;Crecemos contigo;Sí
Blevit;Su primer paso hacia una buena digestión;Sí
Bimanan;Cuida tu figura;Sí
Special K;Empieza bien el día;Sí
Coca-Cola Light;La chispa de la vida ligera;Sí
Pepsi Max;El máximo sabor sin azúcar;No
Redoxon;Tu escudo diario;No
Strepsils;Alivio eficaz;No
Frenadol;El resfriado no podrá contigo;No
Aspirina;Confianza desde siempre;No
Gelocatil;Tú puedes con todo;No
Ibuprofeno Normon;Eficacia que alivia;No
Ricola;Naturaleza que cuida tu garganta;No
Fortasec;Controla tu ritmo;No
Micralax;Solución rápida y eficaz;No
Voltarén;El poder del movimiento;No
Neutrogena;Ciencia para tu piel;No
Olay;Tu piel merece lo mejor;Sí
Pantene;Fuerza que se nota;Sí
Fructis;Vida para tu pelo;Sí
Head & Shoulders;Confianza sin caspa;No
Seda;Brillo natural;Sí
Tresemmé;Como en la peluquería;Sí
H&S Men;Control total masculino;Sí
Nivea Men;Cuidado para el hombre;No
Sanex;Respeta tu piel;No
Rexona;No te abandona;No
Fa;El frescor que dura todo el día;No
Brummel;El perfume del hombre;Sí
Chanel;La elegancia es actitud;Sí
Dior;J’adore, la feminidad absoluta;Sí
Hugo Boss;Tu esencia, tu poder;No
Paco Rabanne;Invictus, el héroe moderno;Sí
Carolina Herrera;La elegancia femenina;Sí
Agua Brava;El hombre y la naturaleza;Sí
DKNY;Urban style for her;Sí
Escada;Colores para tu día;Sí
Desigual;La vida es chula;No
Mango;Vístete de hoy;No
Pull & Bear;New culture wear;No
Massimo Dutti;Estilo con elegancia;No
Stradivarius;Lo llevas dentro;Sí
Oysho;Para lo que quieras ser;Sí
Primark;Precios que te hacen sonreir;No
Springfield;Look good,  feel good;No
El Corte Inglés;La ilusión de cada día;No
Hipercor;Precios que sí;No
Alcampo;Todo lo que te gusta;No
Carrefour;Yo elijo todo;No
Dia;Calidad y precio están de tu lado;No
Eroski;Contigo, siempre;No
Mercadona;Siempre precios bajos;No
Lidl;La calidad no es cara;No
Aldi;La compra inteligente;No
FNAC;Lo mejor está por venir;No
MediaMarkt;Yo no soy tonto;No
PC Componentes;La tecnología al mejor precio;No
Decathlon;El deporte más cerca;No
Sprinter;Tus marcas de siempre;No
JD Sports;King of trainers;No
Forum Sport;Vive el deporte;No
Game;Todo para el gamer;No
Steam;Donde juegas tú;No
PlayStation;Vive en estado play;No
Xbox;Power your dreams;No
Nintendo;La diversión que une;No
SEGA;Lo hace mejor;No
Bandai Namco;Tu historia,  tu juego;No
Konami;Más allá del juego;No
EA Sports;It’s in the game;No
Ubisoft;We create worlds;No
Rockstar Games;Vive sin límites;No
Netflix;Vemos lo que quieres ver;No
HBO Max;Todo lo que amas en un solo lugar;No
Disney+;La magia continúa;No
Amazon Prime Video;Entretenimiento sin límites;No
Movistar+;Donde está el espectáculo;No
Vodafone;Power to you;No
Orange;Llévate lo mejor;No
Yoigo;Verdad verdadera;No
Pepephone;La telefonía honesta;No
Lowi;A tu rollo;No
Simyo;Tú decides;No
Revolut;Control total de tu dinero;No
N26;El banco en tu móvil;No
ING;People in progress;No
BBVA;Creando oportunidades;No
Santander;Tu progreso es nuestro compromiso;No
CaixaBank;Escuchar,  hablar, hacer;No
Bankinter;El banco que ve el dinero como tú;No
Openbank;Banco 100% digital;No
Imagin;El banco de los jóvenes;No
Correos;Llegar es sólo el principio;No
Renfe;Muévete con sentido;No
Iberia;Conectando emociones;No
Vueling;Fly light;No
Air Europa;Tú decides cómo volar;No
